elo_diff,role_diff,counter_score,target,type,diff_marksman,diff_tank,diff_support,diff_fighter,diff_mage,diff_assassin,diff_catcher,diff_vanguard,diff_enchanter
160,0.0,40.3,1,real,-1,0,1,0,-1,-1,0,1,0
-166,2.0,-1.7000000000000028,0,real,0,-1,0,0,1,-1,2,-2,0
59,-2.0,-16.299999999999997,0,real,0,2,1,-1,-1,0,0,2,-1
117,-2.0,-2.6000000000000014,1,real,1,0,1,-1,-1,1,-1,1,0
166,-2.0,7.600000000000001,1,real,0,-1,0,-1,1,2,0,0,0
-166,2.0,12.300000000000004,0,real,-1,0,0,-1,1,2,-1,1,0
-159,0.0,-3.0,0,real,0,1,1,0,0,-2,1,0,0
-159,0.0,12.100000000000001,1,real,1,1,-1,0,-2,-1,0,0,0
-159,0.0,-3.1000000000000014,0,real,1,2,-1,0,-1,-1,-1,0,0
90,0.0,27.0,1,real,0,-1,1,0,-1,0,-1,1,0
-90,0.0,-3.999999999999993,0,real,-1,-1,0,1,-2,1,1,0,0
37,0.0,4.300000000000004,1,real,1,-1,-1,0,0,1,0,-1,0
160,2.0,-6.799999999999997,1,real,-1,-2,0,1,1,1,0,-2,1
-160,0.0,17.4,1,real,1,1,0,-1,1,-2,-1,2,0
-160,0.0,-13.099999999999994,0,real,1,-1,-1,0,2,0,0,-1,0
-59,0.0,-5.600000000000001,1,real,-1,-2,1,0,0,1,1,0,0
59,0.0,-18.29999999999999,0,real,1,-1,-1,1,1,0,1,-1,0
-159,0.0,23.700000000000003,0,real,1,-1,0,-1,-1,0,0,0,0
159,0.0,-25.699999999999996,0,real,1,0,1,0,0,-1,-1,1,1
-11,0.0,5.300000000000004,1,real,0,-1,1,0,1,1,0,0,1
-11,2.0,23.800000000000004,1,real,1,-1,1,-1,-1,0,0,0,1
11,0.0,11.299999999999997,0,real,-1,-1,1,0,-1,1,1,-1,-1
11,-2.0,32.4,1,real,1,1,1,0,-2,0,1,1,-1
-11,4.0,-29.500000000000007,0,real,0,0,0,1,1,-1,0,0,1
-206,0.0,17.700000000000003,1,real,1,-1,-1,0,1,0,0,0,0
206,0.0,0.5999999999999943,1,real,0,-3,1,0,0,2,2,-1,0
-166,2.0,7.600000000000001,1,real,1,-1,-1,1,1,1,0,0,0
166,0.0,11.799999999999997,0,real,0,1,0,-1,-1,0,0,0,0
-206,0.0,0.30000000000000426,0,real,0,1,-1,0,1,-1,0,-1,0
-206,0.0,2.5,1,real,1,1,0,-1,-1,0,-1,0,0
-206,2.0,10.399999999999999,1,real,1,-1,-2,1,1,0,0,-1,0
-160,0.0,0.09999999999999432,0,real,0,-1,1,-1,1,0,-1,0,1
160,-2.0,42.2,1,real,-1,-1,0,1,-1,2,1,-1,0
166,4.0,-19.0,1,real,0,2,-1,2,0,-1,-1,1,0
166,2.0,-7.799999999999997,0,real,0,-1,-2,2,1,0,-1,-1,1
160,0.0,-12.299999999999997,1,real,-1,-1,0,0,0,0,1,0,-1
-78,0.0,-21.699999999999996,0,real,-1,-1,-1,1,0,3,0,-1,0
-173,0.0,-9.000000000000007,1,real,0,0,0,0,-2,0,0,1,1
-119,0.0,-28.0,0,real,0,-1,0,1,-1,1,0,1,0
100,0.0,-21.79999999999999,0,real,-3,1,0,1,0,2,0,0,1
246,0.0,1.6000000000000014,1,real,-1,0,0,0,0,0,0,0,0
46,2.0,21.6,1,real,-1,2,2,0,-2,-2,0,0,0
-232,0.0,-11.700000000000003,0,real,0,0,-1,1,-2,1,1,1,-1
42,0.0,7.200000000000003,1,real,2,-1,0,0,-1,0,1,1,-1
-94,0.0,11.0,1,real,0,1,0,0,-1,-2,0,1,0
274,0.0,-3.5,1,real,0,0,1,-1,1,0,0,0,0
-252,-2.0,-3.499999999999993,0,real,1,1,-1,0,-1,0,0,0,-1
-261,0.0,10.200000000000003,0,real,0,1,0,0,-1,-2,1,1,-1
410,0.0,18.099999999999994,1,real,1,0,1,-1,0,-2,1,0,-1
290,2.0,-12.800000000000004,0,real,2,2,1,-1,0,-3,1,0,0
-481,0.0,-14.5,0,real,-1,1,1,0,3,-2,0,0,1
-271,0.0,-2.6999999999999957,0,real,1,1,0,0,0,-3,0,2,0
252,0.0,10.0,1,real,-1,0,0,0,-1,2,0,-1,0
-261,0.0,-4.099999999999994,0,real,-1,2,0,1,-2,-1,0,2,0
-31,0.0,2.5,1,real,-1,2,0,0,-1,0,0,0,-1
-156,0.0,2.3999999999999986,0,real,2,-1,-1,-1,1,-1,0,-1,-1
59,2.0,-21.299999999999997,0,real,1,0,-1,0,1,-1,0,0,1
-271,0.0,-15.099999999999994,0,real,0,0,-1,1,1,0,0,1,0
-481,0.0,15.300000000000004,0,real,0,0,1,0,1,0,0,-1,-1
-481,0.0,-2.700000000000003,1,real,-2,0,1,0,1,0,0,-2,1
-250,0.0,-4.499999999999993,1,real,-1,2,0,0,-1,0,0,0,0
250,0.0,-12.199999999999996,1,real,-1,1,0,0,-1,0,0,2,0
311,0.0,-17.699999999999996,1,real,0,1,0,0,-2,1,0,-1,-1
-311,0.0,16.200000000000003,0,real,-1,0,0,0,1,0,0,1,0
-40,0.0,4.899999999999999,1,real,-1,1,1,0,-2,-2,1,0,-1
-73,0.0,-18.5,1,real,-1,-1,-1,1,1,-1,0,-2,-1
-8,0.0,5.0,1,real,1,-1,0,1,-2,0,0,0,-1
-202,0.0,9.899999999999999,0,real,1,0,0,0,0,-1,0,1,-1
-202,0.0,6.200000000000003,0,real,1,1,0,0,-1,-1,0,0,-1
-292,0.0,-41.2,0,real,1,1,-1,1,-1,-2,0,0,-1
204,0.0,12.700000000000003,0,real,1,1,-1,0,0,-1,0,0,0
-178,0.0,1.3999999999999986,1,real,-1,-2,0,-1,3,1,0,-2,0
37,-2.0,17.0,1,real,0,1,0,0,-1,0,0,1,0
-250,2.0,-10.000000000000007,0,real,1,1,0,-1,3,-2,0,0,1
-215,0.0,-2.3999999999999986,0,real,0,1,1,0,-1,-1,0,1,-1
-96,0.0,7.399999999999999,0,real,0,0,1,-1,0,-1,0,1,0
-8,0.0,1.7999999999999972,0,real,1,0,0,0,1,0,0,1,0
-117,0.0,3.200000000000003,1,real,0,-1,1,0,0,1,1,1,1
-368,-2.0,-1.7999999999999972,0,real,0,-1,-1,0,2,-1,0,0,0
8,0.0,23.799999999999997,1,real,0,1,1,-1,0,-2,0,0,-1
-160,2.0,-4.199999999999996,0,real,0,0,0,0,0,0,0,2,0
